   1.6666666666666666E-004   1.0471973597998385E-003
   5.0000000000000001E-004   1.1990503737695374E-003
   8.3333333333333328E-004   1.4938695150074120E-003
   1.1666666666666665E-003   1.8579079844108402E-003
   1.5000000000000000E-003   2.2510445971552235E-003
   1.8333333333333333E-003   2.6569042048673907E-003
   2.1666666666666666E-003   3.0687485005462633E-003
   2.4999999999999996E-003   3.4836059674301788E-003
   2.8333333333333335E-003   3.9000687344738216E-003
   3.1666666666666666E-003   4.3174269697591871E-003
   3.4999999999999996E-003   4.7353037781666723E-003
   3.8333333333333336E-003   5.1534902897270489E-003
   4.1666666666666666E-003   5.5718665557457029E-003
   4.4999999999999997E-003   5.9903616024057698E-003
   4.8333333333333336E-003   6.4089323558197547E-003
   5.1666666666666666E-003   6.8275521000897297E-003
   5.4999999999999997E-003   7.2462039502841765E-003
   5.8333333333333327E-003   7.6648770577005341E-003
   6.1666666666666667E-003   8.0835643498394800E-003
   6.4999999999999997E-003   8.5022611557010429E-003
   6.8333333333333336E-003   8.9209643539007837E-003
   7.1666666666666667E-003   9.3396718359970397E-003
   7.4999999999999997E-003   9.7583821633928768E-003
   7.8333333333333328E-003   1.0177094345086473E-002
   8.1666666666666658E-003   1.0595807691988764E-002
   8.5000000000000006E-003   1.1014521720402895E-002
   8.8333333333333319E-003   1.1433236087451108E-002
   9.1666666666666667E-003   1.1851950547491094E-002
   9.4999999999999998E-003   1.2270664922460303E-002
   9.8333333333333328E-003   1.2689379081547207E-002
   1.0166666666666668E-002   1.3108092927160860E-002
   1.0499999999999999E-002   1.3526806385186238E-002
   1.0833333333333334E-002   1.3945519398176828E-002
   1.1166666666666665E-002   1.4364231920573484E-002
   1.1500000000000000E-002   1.4782943915329432E-002
   1.1833333333333333E-002   1.5201655351516944E-002
   1.2166666666666666E-002   1.5620366202622575E-002
   1.2500000000000001E-002   1.6039076445328045E-002
   1.2833333333333332E-002   1.6457786058635040E-002
   1.3166666666666667E-002   1.6876495023234701E-002
   1.3499999999999998E-002   1.7295203321051809E-002
   1.3833333333333333E-002   1.7713910934914274E-002
   1.4166666666666668E-002   1.8132617848312795E-002
   1.4499999999999999E-002   1.8551324045225477E-002
   1.4833333333333334E-002   1.8970029509989661E-002
   1.5166666666666665E-002   1.9388734227207924E-002
   1.5500000000000000E-002   1.9807438181678984E-002
   1.5833333333333331E-002   2.0226141358346838E-002
   1.6166666666666666E-002   2.0644843742263181E-002
   1.6500000000000001E-002   2.1063545318559657E-002
   1.6833333333333332E-002   2.1482246072427252E-002
   1.7166666666666663E-002   2.1900945989101046E-002
   1.7500000000000002E-002   2.2319645053848786E-002
   1.7833333333333333E-002   2.2738343251962390E-002
   1.8166666666666664E-002   2.3157040568751723E-002
   1.8499999999999999E-002   2.3575736989539752E-002
   1.8833333333333334E-002   2.3994432499659074E-002
   1.9166666666666665E-002   2.4413127084449208E-002
   1.9500000000000000E-002   2.4831820729254633E-002
   1.9833333333333335E-002   2.5250513419423259E-002
   2.0166666666666666E-002   2.5669205140305251E-002
   2.0499999999999997E-002   2.6087895877252253E-002
   2.0833333333333332E-002   2.6506585615616640E-002
   2.1166666666666667E-002   2.6925274340751114E-002
   2.1499999999999998E-002   2.7343962038008231E-002
   2.1833333333333333E-002   2.7762648692740154E-002
   2.2166666666666668E-002   2.8181334290298447E-002
   2.2499999999999999E-002   2.8600018816033853E-002
   2.2833333333333330E-002   2.9018702255296191E-002
   2.3166666666666665E-002   2.9437384593434226E-002
   2.3500000000000000E-002   2.9856065815795609E-002
   2.3833333333333331E-002   3.0274745907726767E-002
   2.4166666666666666E-002   3.0693424854572882E-002
   2.4500000000000001E-002   3.1112102641677842E-002
   2.4833333333333332E-002   3.1530779254384141E-002
   2.5166666666666664E-002   3.1949454678032931E-002
   2.5500000000000002E-002   3.2368128897963935E-002
   2.5833333333333333E-002   3.2786801899515432E-002
   2.6166666666666664E-002   3.3205473668024198E-002
   2.6499999999999999E-002   3.3624144188825568E-002
   2.6833333333333334E-002   3.4042813447253358E-002
   2.7166666666666665E-002   3.4461481428639779E-002
   2.7499999999999997E-002   3.4880148118315545E-002
   2.7833333333333335E-002   3.5298813501609766E-002
   2.8166666666666666E-002   3.5717477563849992E-002
   2.8499999999999998E-002   3.6136140290362058E-002
   2.8833333333333332E-002   3.6554801666470266E-002
   2.9166666666666667E-002   3.6973461677497189E-002
   2.9499999999999998E-002   3.7392120308763765E-002
   2.9833333333333330E-002   3.7810777545589244E-002
   3.0166666666666668E-002   3.8229433373291134E-002
   3.0499999999999999E-002   3.8648087777185196E-002
   3.0833333333333331E-002   3.9066740742585489E-002
   3.1166666666666665E-002   3.9485392254804276E-002
   3.1500000000000000E-002   3.9904042299152030E-002
   3.1833333333333332E-002   4.0322690860937455E-002
   3.2166666666666663E-002   4.0741337925467379E-002
   3.2500000000000001E-002   4.1159983478046849E-002
   3.2833333333333332E-002   4.1578627503979004E-002
   3.3166666666666664E-002   4.1997269988565115E-002
   3.3500000000000002E-002   4.2415910917104595E-002
   3.3833333333333326E-002   4.2834550274894877E-002
   3.4166666666666665E-002   4.3253188047231515E-002
   3.4500000000000003E-002   4.3671824219408101E-002
   3.4833333333333327E-002   4.4090458776716232E-002
   3.5166666666666666E-002   4.4509091704445558E-002
   3.5500000000000004E-002   4.4927722987883716E-002
   3.5833333333333328E-002   4.5346352612316281E-002
   3.6166666666666666E-002   4.5764980563026844E-002
   3.6500000000000005E-002   4.6183606825296861E-002
   3.6833333333333329E-002   4.6602231384405793E-002
   3.7166666666666667E-002   4.7020854225630952E-002
